term_vs,acronym_abrev,term_eng,criterion_and_use
PUSH vs PULL,PULL,Pull,Jalar → Distancias min para los distintos casos de jalar puertas abatibles: - Acceso frontal → Jalar → 5' min (perp) / 1'-6” min (paral). - Acceso bisagra → Jalar →  5' min (perp) / 3' min (paral). - Acceso manija → Jalar →  4' min (perp) / 2' min (paral).
GRAB BAR vs TOWEL BAR vs SHOWER ROD,GB,Grab Bar,"Barra de agarre (En restrooms: detrás del inodoro → barra de 3', a 6” de la pared / lateral del inodoro → barra de 3'-6”, a 12” de la pared)."
GRAB BAR vs TOWEL BAR vs SHOWER ROD,TB,Towel Bar,Barra para toallas / Toallero.
GRAB BAR vs TOWEL BAR vs SHOWER ROD,SHO ROD,Shower Rod,Barra de la ducha (donde van colgadas las cortinas).
UPPER CABINET vs BASE CABINET vs DRAWER BASE CABINET vs SINK BASE CABINET vs MEDICINE CABINET,UC,Upper Cabinet,Mueble de cocina aéreo.
UPPER CABINET vs BASE CABINET vs DRAWER BASE CABINET vs SINK BASE CABINET vs MEDICINE CABINET,BC,Base Cabinet,Mueble de cocina bajo.
UPPER CABINET vs BASE CABINET vs DRAWER BASE CABINET vs SINK BASE CABINET vs MEDICINE CABINET,DB,Drawer Base Cabinet,Base de gavetas del mueble de cocina.
UPPER CABINET vs BASE CABINET vs DRAWER BASE CABINET vs SINK BASE CABINET vs MEDICINE CABINET,SB,Sink Base Cabinet,Mueble bajo el fregadero.
UPPER CABINET vs BASE CABINET vs DRAWER BASE CABINET vs SINK BASE CABINET vs MEDICINE CABINET,MC,Medicine Cabinet,Mueble de los medicamentos.
CORRIDOR vs BREEZEWAY vs LOGGIA,CORR,Corridor,Corredor / Pasillo.
CORRIDOR vs BREEZEWAY vs LOGGIA,BRZWY,Breezeway,Paso abierto y techado (normalmente para conectar dos edificios o áreas).
CORRIDOR vs BREEZEWAY vs LOGGIA,LOGG,Loggia,Corredor cubierto exterior y abierto a zonas verdes generalmente mediante arcos).
ROTATE vs FLIP,ROT,Rotate,Rotar un elemento.
ROTATE vs FLIP,FLIP,Flip,Darle la vuelta a un elemento (simetría izquierda/derecha o arriba/abajo).
CHAMFER vs BEVEL vs FILLET,CHAM,Chamfer,"Chaflán (línea oblícua usualmente a 45º, para eliminar una esquina)."
CHAMFER vs BEVEL vs FILLET,BVL,Bevel,Bisel (corte oblícuo en el extremo de un elemento).
CHAMFER vs BEVEL vs FILLET,FILLET,Fillet,Fillet (esquina redondeada).
BLOW-UP vs CALL-OUT,BLOW-UP,Blow-up,Ampliación (zona mostrada a una escala mayor para incluir mayor nivel de detalle).
BLOW-UP vs CALL-OUT,CALL-OUT,Call-out,Recuadro que señaliza una zona que se mostrará ampliada y su ubicación.
DROP vs FLUSH,DROP,Drop,"Caída (se usa para indicar la diferencia de nivel entre dos superficies). Es una dimensión variable. En la puerta de los balcones, típicamente es 3/4”."
DROP vs FLUSH,FLUSH,Flush,Dos superficies rasantes (perfectamente alineadas entre sí).
OPEN TO BELOW vs OPEN TO SKY,OPN TO BLW,Open to Below,Abierto hacia abajo (nota que se coloca en el piso superior de una doble altura).
OPEN TO BELOW vs OPEN TO SKY,OPN TO SKY,Open to Sky,A cielo abierto (espacio descubierto).
ATRIUM vs COURTYARD,ATRIUM,Atrium,"Atrio (espacio abierto techado en el interior del edificio, generalmente con lucernario)."
ATRIUM vs COURTYARD,COURT,Courtyard,"Patio (espacio a cielo abierto que, a diferencia del atrio, es exterior)."
NGVD vs NAVD,NGVD,National Geodetic Vertical Datum ('29),"Referencia fijada para datos de alturas del terreno (en 1929). Es la predecesora de NAVD, y por lo tanto es menos precisa."
NGVD vs NAVD,NAVD,North American Vertical Datum ('88),Referencia fijada para datos de alturas del terreno (en 1988). Mayor precisión en los datos (algo importante para evitar casos de inundaciones).
LANDSCAPE vs HARDSCAPE vs SOFTSCAPE,L,Landscape,Paisajismo.
LANDSCAPE vs HARDSCAPE vs SOFTSCAPE,HRD,Hardscape,"Elementos paisajísticos artificiales (gazebos, bancos, cercas...etc)."
LANDSCAPE vs HARDSCAPE vs SOFTSCAPE,SFT,Softscape,"Elementos paisajísticos naturales (jardines, vegetación, terreno...etc)."
PROPERTY LINE vs BOUNDARY LINE,PL,Property Line,"Línea de propiedad (delimita una zona específica con un propietario legal, que debe responsabilizarse su mantemiento y el pago de las tasas respectivas)."
PROPERTY LINE vs BOUNDARY LINE,BDRY,Boundary Line,"Límite (normalmente es equivalente a la línea de propiedad, pero técnicamente a diferencia de esta, el boundary line no considera la propiedad legal). Al tratarse de un límite territorial, puede ser establecido por los topógrafos."
SETBACK vs SEPARATION vs FRONTAGE vs ENCROCHMENT,STBK,Setback,Distancia desde el edificio hasta la línea de propiedad.
SETBACK vs SEPARATION vs FRONTAGE vs ENCROCHMENT,SEPAR,Building Separation,Separación entre dos edificios del proyecto (en el punto más próximo).
SETBACK vs SEPARATION vs FRONTAGE vs ENCROCHMENT,FRT,Frontage,Dimensión del frente del lote.
SETBACK vs SEPARATION vs FRONTAGE vs ENCROCHMENT,ENCR,Encroachment,Distancia de rebasado de un elemento del edificio respecto a la separación límite.
EASEMENT vs RIGHT OF WAY,ESMT,Easement,Derecho de acceso / Servidumbre.
EASEMENT vs RIGHT OF WAY,ROW o R/W,Right of Way,Derecho de paso / Servidumbre (es un tipo específico de easement).
PARCEL vs LOT,PRCL,Parcel,Lote (cantidad de terreno asociada con sus impuestos/tasas).
PARCEL vs LOT,LOT,Lot,"Lote (subdividisión de la propiedad, con una descripción legal y dirección asociada)."
SURVEY vs CIVIL,SRVY,Survey,"Análisis detallado del lote o propiedad del proyecto (topografía, límites...etc)."
SURVEY vs CIVIL,C,Civil,"Obra civil (carreteras, vías, caminos...etc)."
ZONING vs MASSING,ZNG,Zoning,"Zonificación (Análisis del código que aplica al lote (alturas máx, separaciones...etc). Según la ubicación y cartacterísticas del lote, se le asigna un código (letra/número). La letra indica el uso (R = Residencial / C = Comercial / I = Industrial...etc). El número indica el nivel o intensidad de uso para dicho lote."
ZONING vs MASSING,MASSING,Massing,"Análisis de la volumetría del proyecto y la relación entre sus distintas partes, y también la relación entre el mismo y su contexto alrededor."
PERVIOUS vs IMPERVIOUS,PERV,Pervious,"Superficies permeables del lote (jardines, gravilla, adoquines porosos...etc). Como consecuencia, estas superficies aumentan el volúmen de agua drenada."
PERVIOUS vs IMPERVIOUS,IMPERV,Impervious,"Superficies impermeables del lote (concreto, asfalto, piedra...etc). Como consecuencia, estas superficies aumentan las escorrentías."
SECTOR vs PHASE,SECTR,Sector,"Sector (cada zona separada dentro de un proyecto grande). En el keyplan, dichas separaciones se suelen representar mediante match lines."
SECTOR vs PHASE,PHSE,Phase,"Fase (a diferencia de un sector, es una zona del proyecto a construir en el futuro)."
SP vs OSP vs MSP,SP,Site Plan,Plano de situación.
SP vs OSP vs MSP,OSP,Overall Site Plan,Plano de situación general.
SP vs OSP vs MSP,MSP,Master Site Plan,Plano de situación maestro (muestra un área mayor y suele incluir varios proyectos).
RAILING vs HANDRAIL vs CANE RAIL vs GUARDRAIL,RLG,Railing,"Barandilla (típica de 3'-6” de altura o 4'-0” en balcones del 1F hacia un courtyard). Se refiere al conjunto completo de la barandilla, incluyendo sus distintas partes."
RAILING vs HANDRAIL vs CANE RAIL vs GUARDRAIL,HDRL,Handrail,"Pasamanos (típico de 2'-10” de altura, y sobresale 12” respecto al último riser)."
RAILING vs HANDRAIL vs CANE RAIL vs GUARDRAIL,CN RL,Cane Rail,"Barandilla (típica de 2'-3” de altura, bajo la escaleras, como protección)."
RAILING vs HANDRAIL vs CANE RAIL vs GUARDRAIL,GRDRL,Guardrail,"Barandilla (típica de 3'-6” de altura, función de barrera para evitar caída al vacío)."
PICKET FENCE vs CHAIN LINK FENCE vs BARBED FENCE vs SITE FENCE,PKT FNC,Picket Fence,Valla de postes verticales.
PICKET FENCE vs CHAIN LINK FENCE vs BARBED FENCE vs SITE FENCE,CHN LNK FNC,Chain Link FENCE,Valla / Cerca de alambre.
PICKET FENCE vs CHAIN LINK FENCE vs BARBED FENCE vs SITE FENCE,BRBD FNC,Barbed Fence,Valla con alambre de púas.
PICKET FENCE vs CHAIN LINK FENCE vs BARBED FENCE vs SITE FENCE,SITE FNC,Site Fence,Valla / Cerca de protección del lote.
ONSTREET PARKING vs OFFSTREET PARKING,ONST PARK,Onstreet Parking,"Espacio de parqueo exteriores, en la vía pública."
ONSTREET PARKING vs OFFSTREET PARKING,OFFST PARK,Offstreet Parking,"Espacio de parqueo fuera de la vía pública (pueden ser exteriores en superficie si están en un lote, o interiores en edificios de garage o aparcamientos subterraneos)."
STANDARD vs COMPACT vs PARALLEL vs HANDICAP vs TANDEM vs ELECTRIC VEHICLE,SP,Standard Parking,Espacio de parqueo regular (dimensión típica de 9' x 18').
STANDARD vs COMPACT vs PARALLEL vs HANDICAP vs TANDEM vs ELECTRIC VEHICLE,CP,Compact Parking,"Espacio de parqueo compacto (dimensión mínima de 8' x 16'). En parqueos exteriores, su número no puede superar el 25% del total de parqueos."
STANDARD vs COMPACT vs PARALLEL vs HANDICAP vs TANDEM vs ELECTRIC VEHICLE,PP,Parallel Parking,Espacio de parqueo en paralelo (dimensión típica de 8'-6” x 22').
STANDARD vs COMPACT vs PARALLEL vs HANDICAP vs TANDEM vs ELECTRIC VEHICLE,HC (VAN),Handicap Parking,"Espacio de parqueo para discapacitados (dimensión típica de 12' x 18'). Se colocan cerca de los accesos, y disponen de un paso lateral de 5' de ancho. En caso de ser HC VAN, necesitan una altura libre mínima de 8'-2”. Para calcular el número requerido hay que revisar el número total de parqueos: 1-25sp → 1HC / 26-50sp → 2HC / 51-75sp → 3HC / 76-100sp → 4HC.../ 500+sp → 2%."
STANDARD vs COMPACT vs PARALLEL vs HANDICAP vs TANDEM vs ELECTRIC VEHICLE,TP,Tandem Parking,"Espacio de parqueo pareado (tienen longitud doble, usualmente 32'). Ahorran espacio, pero el inconveniente es que un carro bloquea la salida al otro."
STANDARD vs COMPACT vs PARALLEL vs HANDICAP vs TANDEM vs ELECTRIC VEHICLE,EV,Electric Vehicle Parking,"Espacio de parqueo para vehículos eléctricos (disponen de equipo de recarga). No todos los proyectos requieren este tipo de parqueos, depende de cada caso. Para calcular el número requerido hay que revisar el número total de parqueos: 10-25sp → 1EV / 26-50sp → 2EV / 51-75sp → 4EV / 76-100sp → 5EV.../ 200+sp → 6%."
BACK OUT SPACE vs PARKING AISLE,B/O SP,Back Out Space,Espacio reservado para maniobrar en un garage o parqueo. Su tamaño depende del número de vías y de su ubicación.
BACK OUT SPACE vs PARKING AISLE,AISLE,Parking Aisle / Drive Aisle,"Zona de paso / tránsito (en garages, usualmente 14' → Una vía / 24' → Dos vías)."
BARRIER CABLES vs VEHICULAR BARRIER,BAR CABLES,Barrier Cables,"Barandilla de cables (típica en los garages como elemento de protección). Suelen tener una altura de 3'-6”, en ocasiones van montadas sobre un bordillo de 4”. La separación típica entre cada uno de los cables es de 4”."
BARRIER CABLES vs VEHICULAR BARRIER,VEH BAR,Vehicular Barrier,Refuerzo de concreto de 2'-9” min en la base de paredes de circulación del garaje.
ROLL-UP GATE vs BARRIER ARM GATE vs HORIZONTAL ROLLER GATE,ROLL UP GTE,Roll-up Gate,Portón tipo persiana (típico dentro de los edificios de garage).
ROLL-UP GATE vs BARRIER ARM GATE vs HORIZONTAL ROLLER GATE,BAR GTE,Barrier Arm Gate,Portón tipo barrera (típico dentro de los edificios de garage).
ROLL-UP GATE vs BARRIER ARM GATE vs HORIZONTAL ROLLER GATE,HR GTE,Horizontal Roller Gate,Portón corredizo (típico dentro de los edificios de garage).
STAIR vs JUMP STAIR vs CONVENIENCE STAIR vs SPIRAL STAIR vs SCISSOR STAIR vs LADDER,STR,Stair,Escaleras (rating de 2h hasta 3 niveles / rating de 2h para más de 3 niveles).
STAIR vs JUMP STAIR vs CONVENIENCE STAIR vs SPIRAL STAIR vs SCISSOR STAIR vs LADDER,JMP STR,Jump Stair,Escaleras (pequeño tramo para conectar los dos laterales de un garage). A veces son necesarias para poder cumplir la ruta de evacuación en Life Safety.
STAIR vs JUMP STAIR vs CONVENIENCE STAIR vs SPIRAL STAIR vs SCISSOR STAIR vs LADDER,CONV STR,Convenience Stair,"Escaleras de conveniencia (conectan varios pisos dentro de un edificio, sin tener una separación de pared ni puerta fire-rated. Útil en oficinas, para una conexión fluída. Debido a sus limitaciones, se suele disponer un smoke barrier perimetral en el área)."
STAIR vs JUMP STAIR vs CONVENIENCE STAIR vs SPIRAL STAIR vs SCISSOR STAIR vs LADDER,SPI STR,Spiral Stair,Escalera de caracol.
STAIR vs JUMP STAIR vs CONVENIENCE STAIR vs SPIRAL STAIR vs SCISSOR STAIR vs LADDER,SCSR STR,Scissor Stair,Escalera de tijera (poseen doble subida y bajada).
STAIR vs JUMP STAIR vs CONVENIENCE STAIR vs SPIRAL STAIR vs SCISSOR STAIR vs LADDER,LDR,Ladder,Escalera de mano.
TREAD vs RISER vs RUNG,T,Tread,"Huella de escalera. Typ. de 11”, en townhomes min 10” y en exteriores ocasionalmente de 12”."
TREAD vs RISER vs RUNG,R,Riser,"Contrahuella de escalera. Límite máximo general de 7”, y en townhomes de 7 3/4”."
TREAD vs RISER vs RUNG,RUNG,Rung,Barra que sirve como peldaño en una escalera de mano (separadas de forma equidistante entre 10” y 14”).
STAIR NOSING vs BULLNOSE,STR NSNG,Stair Nosing,Mamperlán / Pirlán (remate de 1” al final de cada escalón).
STAIR NOSING vs BULLNOSE,BULLNS,Bullnose,Extensión lateral (normalmente redondeada) de los peldaños iniciales de la escalera.
FLIGHT vs LANDING,FLGHT,Flight,Tramo de escalera (entre dos descansos). No puede subir más de 12' seguidos sin descansos.
FLIGHT vs LANDING,LND,Landing,Descanso (en una rampa o escalera).
FURRING vs FURROUT vs FINISH,FURR,Furring,"Forro (típicamente separado de la pared 1 3/8” y con grosor de 5/8” → Total = 2”). Se coloca en la cara interior de las paredes de bloque o concreto con algunas excepciones (staircases, shafts, trash room, elec rooms, garage...)."
FURRING vs FURROUT vs FINISH,FURRT,Furrout,Forro recrecido (generalmente para esconder ductos o mejorar la insulación).
FURRING vs FURROUT vs FINISH,FIN,Finish,Repello.
EXPANSION JOINT vs CONSTRUCTION JOINT vs CONTROL JOINT,EJ,Expansion Joint,"Junta de expansión (para mitigar los cambios expansivos del material, de 1” o 2”)."
EXPANSION JOINT vs CONSTRUCTION JOINT vs CONTROL JOINT,CJ,Construction Joint,Junta de construcción (derivada del proceso constructivo en obra).
EXPANSION JOINT vs CONSTRUCTION JOINT vs CONTROL JOINT,CTRJ,Control Joint / Contraction Joint,Junta de control (para controlar la forma de agrietado del elemento constructivo).
CAULKING vs SEALANT vs BACKER ROD,CLK,Caulking,Calafateado (sellado/cierre de una junta con masilla).
CAULKING vs SEALANT vs BACKER ROD,SNT,Sealant,"Sellante (más versátil que el caulking, por su elasticidad y por ser resistente al agua)."
CAULKING vs SEALANT vs BACKER ROD,BCKR ROD,Backer Rod,Varilla de respaldo (cordón de polietileno colocado en las juntas antes de sellarse).
TROWELLED vs TOOLED,TROWELLD,Trowelled,Rematado de junta en la que se elimina el exceso de mortero → Acabado poroso.
TROWELLED vs TOOLED,TOOLD,Tooled,Rematado de junta en la que queda cóncava → Mortero comprimido.
BATT INSULATION vs BLANKET INSULATION vs FOIL BACK INSULATION vs SPRAYED INSULATION,BATT INSUL,Batt Insulation,Insulación laminada (pre-cortada en piezas de 4' / 8').
BATT INSULATION vs BLANKET INSULATION vs FOIL BACK INSULATION vs SPRAYED INSULATION,BLNKT INSUL,Blanket Insulation,Insulación laminada (en rollo).
BATT INSULATION vs BLANKET INSULATION vs FOIL BACK INSULATION vs SPRAYED INSULATION,FB INSUL,Foil Back Insulation,Insulación con aluminio laminado (es útil para evitar la trasferencia térmica).
BATT INSULATION vs BLANKET INSULATION vs FOIL BACK INSULATION vs SPRAYED INSULATION,SPRYD INSUL,Sprayed Insulation,Insulación proyectada / rociada (usual en espacios no habitables o casos de VBS).
FLASHING vs COUNTERFLASHING vs VALLEY FLASHING,FLASH,Flashing,Botaguas.
FLASHING vs COUNTERFLASHING vs VALLEY FLASHING,ZFLASH,"Counterflashing / ""Z"" Flashing","Botaguas (se utiliza para cubrir el flashing, y así prevenir la entrada de humedad)."
FLASHING vs COUNTERFLASHING vs VALLEY FLASHING,VFLASH,Valley Flashing,Botaguas (especificamente el colocado en las limahoyas del techo).
DRIP INDUCER vs DRIP EDGE,DRIP,Drip Inducer / Water Cut,Cortalágrimas (en elementos en voladizo para evitar que el agua llegue a fachada).
DRIP INDUCER vs DRIP EDGE,DRIP EDGE,Drip Edge,Cortalágrimas (específicamente el que se coloca sobre el nailer en los aleros).
WALKING PAD vs WALKING PATH,PAD,Walking Pad,Planchas de hule en el techo formando un camino para hacerlo transitable. Su recorrido debe dar acceso a todas las unidades de aire en el techo.
WALKING PAD vs WALKING PATH,PATH,Walking Path,Sendero.
TOB vs TOS vs TOP vs TOW vs TOR,TOB,Top of Beam,Altura de la parte superior de la viga.
TOB vs TOS vs TOP vs TOW vs TOR,TOS,Top of Slab,Altura de la parte superior de la losa.
TOB vs TOS vs TOP vs TOW vs TOR,TOP,Top of Parapet,Altura de la parte superior del parapeto.
TOB vs TOS vs TOP vs TOW vs TOR,TOW,Top of Wall / Top of Window,Altura de la parte superior de la pared o de la ventana (según el contexto).
TOB vs TOS vs TOP vs TOW vs TOR,TOR,Top of Ridge / Top of Railing,Altura de la cumbrera o de la barandilla (según el contexto).
ABOVE vs OVER vs ON vs BELOW vs UNDER vs BENEATH,ABV,Above,"Encima (a bastante distancia, se especifica con línea discontínua qué ocurre arriba)."
ABOVE vs OVER vs ON vs BELOW vs UNDER vs BENEATH,OVER,Over,Encima (un elemento se encuentra cubriendo otro o a muy poca distancia).
ABOVE vs OVER vs ON vs BELOW vs UNDER vs BENEATH,ON,On,"Encima (un elemento está directamente sobre el otro, con contacto entre ambos)."
ABOVE vs OVER vs ON vs BELOW vs UNDER vs BENEATH,BLW,Below,"Debajo (a bastante distancia, se especifica con línea más fina qué ocurre abajo)."
ABOVE vs OVER vs ON vs BELOW vs UNDER vs BENEATH,UNDER,Under,Debajo (un elemento se encuentra cubierto por otro o a muy poca distancia).
ABOVE vs OVER vs ON vs BELOW vs UNDER vs BENEATH,BNTH,Beneath,"Debajo (un elemento está directamente bajo el otro, con contacto entre ambos)."
OVERHEAD vs UNDERSIDE,OHD,Overhead,"Encima (se usa cuando un elemento cruza justo por encima, eg. puerta de garaje)."
OVERHEAD vs UNDERSIDE,U/S,Underside,Superficie o cara inferior / Envés / Intradós.
BEHIND vs BESIDE vs BETWEEN vs BEYOND,BHND,Behind,Detrás de...
BEHIND vs BESIDE vs BETWEEN vs BEYOND,BSD,Beside,Junto a...
BEHIND vs BESIDE vs BETWEEN vs BEYOND,BTWN,Between,Entre dos elementos.
BEHIND vs BESIDE vs BETWEEN vs BEYOND,BYND,Beyond,"Hacia el fondo (típico en serie 3, para indicar lo que se ve tras el plano frontal)."
VOID SPACE vs INTERSTITIAL SPACE,VOID,Void Space,Espacio vacío / sin uso (generalmente debajo de una rampa / escalera).
VOID SPACE vs INTERSTITIAL SPACE,INTERST,Interstitial Space,Espacio intersticial (espacio sin uso habitable entre dos losas estructurales).
SPAN vs BAY,SPAN,Span,Luz (distancia horizontal entre dos elementos estructurales de apoyo).
SPAN vs BAY,BAY,Bay,Crujía (distancia horizontal entre dos cerchas consecutivas).
ELEVATION vs FACADE,ELEV,Elevation,Elevación.
ELEVATION vs FACADE,FCDE,Facade / Façade,Elevación frontal (es específicamente la fachada principal y más distintiva).
MAIN COLOR vs ACCENT COLOR,COLOR,Main Color,Color principal.
MAIN COLOR vs ACCENT COLOR,ACCENT,Accent Color,"Color acentuado (en serie 3, especifica las zonas con colores secundarios que sirven como contraste respecto al color principal de la fachada)."
PORCH vs LANAI vs PATIO vs VERANDAH vs DECK vs SUNROOM,PRCH,Porch,Porche (generalmente frente a la fachada principal).
PORCH vs LANAI vs PATIO vs VERANDAH vs DECK vs SUNROOM,LANAI,Lanai (haw.),Porche (usualmente más extenso y en la fachada posterior).
PORCH vs LANAI vs PATIO vs VERANDAH vs DECK vs SUNROOM,PATIO,Patio,"Porche (usualmente descubierto, pavimentado y desconectado de la casa)."
PORCH vs LANAI vs PATIO vs VERANDAH vs DECK vs SUNROOM,VERAND,Verandah,"Veranda (porche en un costado de la vivienda, a veces envolviendo una esquina)."
PORCH vs LANAI vs PATIO vs VERANDAH vs DECK vs SUNROOM,DECK,Deck ,"Deck  (usualemente descubierto, elevated y en la fachada posterior, typ de madera)."
PORCH vs LANAI vs PATIO vs VERANDAH vs DECK vs SUNROOM,SUNRM,Sunroom,Solarium (cuarto interior de la vivienda con gran iluminación natural y vista exterior).
RECESS vs ALCOVE vs NICHE,RECESS,Recess,Remetido (generalmente se refiere a un quiebre en fachada metido hacia dentro).
RECESS vs ALCOVE vs NICHE,ALC,Alcove,"Alcoba (espacio remetido en una sala, generalmente para leer o sentarse)."
RECESS vs ALCOVE vs NICHE,NCH,Niche,"Nicho (espacio remetido en una pared, para colocar elementos decorativos)."
FLOOR vs LEVEL vs TIER vs STORY,FLR,Floor,Nivel / Piso (generalmente aplica a edificios residenciales y/o habitables).
FLOOR vs LEVEL vs TIER vs STORY,LVL,Level,"Nivel / Piso (generalmente aplica a edificios no habitables, por ejemplo un garaje. También se usa al referirse a un overall plan (porque puede incluir un garaje)."
FLOOR vs LEVEL vs TIER vs STORY,TIER,Tier,"Nivel / Piso (aplica al calcular la ventilación del garaje, los niveles son tiers)."
FLOOR vs LEVEL vs TIER vs STORY,STRY,Story,"Número de pisos del edificio (se coloca tras el número, eg: four-stor(e)y building). "
LOW RISE BUILDING vs MID RISE BUILDING vs HIGH RISE BUILDING vs SKYSCRAPER,LRB,Low Rise Building,Edificio de poca altura (4 pisos o menos).
LOW RISE BUILDING vs MID RISE BUILDING vs HIGH RISE BUILDING vs SKYSCRAPER,MRB,Mid Rise Building,Edificio de altura media (entre 5 y 8 pisos).
LOW RISE BUILDING vs MID RISE BUILDING vs HIGH RISE BUILDING vs SKYSCRAPER,HRB,High Rise Building,Edificio de gran altura (generalmente a partir de 9 pisos). Un edificio es high rise cuando la altura desde el acceso de calle de los bomberos hasta la vivienda más elevada > 75ft (debido a la dim de la escalera de incendios).
LOW RISE BUILDING vs MID RISE BUILDING vs HIGH RISE BUILDING vs SKYSCRAPER,SKYSCPR,Skyscrapper,"Rascacielos (generalmente a partir de 40 pisos, pero no necesariamente)."
ALF vs MOB vs SNF vs CRO,ALF,Assisted Living Facility,Complejo de viviendas para personas que requieren asistencia.
ALF vs MOB vs SNF vs CRO,MOB,Medical Office Building,Centro de oficinas médicas.
ALF vs MOB vs SNF vs CRO,SNF,Skilled Nursing Facility,Centro de enfermería y rehabilitación.
ALF vs MOB vs SNF vs CRO,CRO,Contract Reasearch Organization,"Centro que da soporte a la industria farmacéutica (análisis, pruebas clínicas...)."
CLERICAL vs TRIAGE vs WAITING ROOM vs MEDICAL SUPPLY vs TREATMENT ROOM vs IRB,CLER,Clerical,"Oficina administrativa en centro médico (recibe llamadas, coordina citas médicas...)."
CLERICAL vs TRIAGE vs WAITING ROOM vs MEDICAL SUPPLY vs TREATMENT ROOM vs IRB,TRIAGE,Triage,"Triaje (en centros médicos, clasificación de pacientes según su gravedad)."
CLERICAL vs TRIAGE vs WAITING ROOM vs MEDICAL SUPPLY vs TREATMENT ROOM vs IRB,WAIT RM,Waiting Room,Sala de espera.
CLERICAL vs TRIAGE vs WAITING ROOM vs MEDICAL SUPPLY vs TREATMENT ROOM vs IRB,MED SUP,Medical Supply,Cuarto de suministros médicos.
CLERICAL vs TRIAGE vs WAITING ROOM vs MEDICAL SUPPLY vs TREATMENT ROOM vs IRB,TREAT,Treatment Room,Sala de tratamiento.
CLERICAL vs TRIAGE vs WAITING ROOM vs MEDICAL SUPPLY vs TREATMENT ROOM vs IRB,IRB,Institutional Review Board,Junta de Revisión Institucional (supervisa las pruebas médicas en pacientes).
ISOMETRIC vs DIMETRIC vs TRIMETRIC vs CABINET vs CAVALIER vs MILITAR,ISOM,Isometric,"Isométrico (representación gráfica en la que los 3 ejes, x / y / z, se separan 120º)."
ISOMETRIC vs DIMETRIC vs TRIMETRIC vs CABINET vs CAVALIER vs MILITAR,DIMET,Dimetric,"Dimétrico (representación gráfica en la que los 3 ejes, x / y / z, se separan con dos ángulos iguales entre sí y uno de ellos diferente)."
ISOMETRIC vs DIMETRIC vs TRIMETRIC vs CABINET vs CAVALIER vs MILITAR,TRIMET,Trimetric,"Trimétrico (representación gráfica en la que los 3 ejes, x / y / z, se separan con los tres ángulos diferentes entre sí)."
ISOMETRIC vs DIMETRIC vs TRIMETRIC vs CABINET vs CAVALIER vs MILITAR,CAB,Cabinet,Representación gráfica oblícua de tipo gabinete (la elevación se muestra de frente en verdadera magnitud y el fondo se escala a la mitad en un eje inclinado).
ISOMETRIC vs DIMETRIC vs TRIMETRIC vs CABINET vs CAVALIER vs MILITAR,CAV,Cavalier,Representación gráfica caballera (la elevación se muestra de frente en verdadera magnitud y el fondo se mantiene a escala en un eje inclinado).
ISOMETRIC vs DIMETRIC vs TRIMETRIC vs CABINET vs CAVALIER vs MILITAR,MILIT,Militar,Representación gráfica militar (la planta se muestra de frente en verdadera magnitud y la altura se mantiene a escala en un eje vertical).
PLANAR BREAK vs MATCH LINE,PLNR BRK,Planar Break,"Cambio de plano (típico en serie 3, para indicar una zona vista en escorzo / oblícua)."
PLANAR BREAK vs MATCH LINE,MTCH LN,Match Line,"Línea referencia para mostrar la continuación de un elemento. (típico en serie 3, para mostrar una elevación o sección de gran longitud)."
DASHED vs DOTTED vs DASHDOTTED,DASH,Dashed Line,"Tipo de línea discontínua (sirve para mostrar elementos ocultos del punto de vista). Cuando los trazos estan más separados, se indica que el elemento está más lejano."
DASHED vs DOTTED vs DASHDOTTED,DOT,Dotted Line,Tipo de línea punteada (sirve para mostrar elementos ocultos muy cercanos).
DASHED vs DOTTED vs DASHDOTTED,DASHDOT,Dashdotted Line,Tipo de línea con alternancia de líneas y puntos (se usan para indicar ejes).
GRILLE vs MESH vs LATTICE vs LATH,GRILLE,Grille,Reja (generalmente metálica y en fachada con función decorativa o de seguridad).
GRILLE vs MESH vs LATTICE vs LATH,MSH,Mesh,"Malla  (generalmente en balcones, con una retícula mucho más fina que el grille)."
GRILLE vs MESH vs LATTICE vs LATH,LTTC,Lattice,Entramado (típico en cercas/vallas de metal o madera con una retícula cuadrada).
GRILLE vs MESH vs LATTICE vs LATH,LATH,Lath,Mallazo (malla de metal usualmente utilizada en sistemas de impermeabilización).
SCORE LINE vs REVEAL,SCORE LN,Score Line,"Línea de marcado (con función decorativa en elevaciones, typ de stucco y 1” max)."
SCORE LINE vs REVEAL,RVL,Reveal,Superficie de un elemento en receso en fachada (como un opening o un score line).
MOULDING vs TRIM vs FRIEZE,MLD,Molding,Moldura (término general para todos los tipos).
MOULDING vs TRIM vs FRIEZE,TRM,Trim,"Moldura en forma de banda (usual aldededor de ventanas, puertas o para zócalos)."
MOULDING vs TRIM vs FRIEZE,FRZ,Frieze,"Friso (banda horizontal decorativa, generamente con arte esculpido)."
LAP SIDING vs BOARD SIDING,LAP SDNG,Lap Siding,Revestimiento (con bandas horizontales solapadas).
LAP SIDING vs BOARD SIDING,BD SDNG,Board Siding,Revestimiento (con paneles sobre listones guía y sin solapamiento).
RFE vs SFE vs FEC,RFE,Recessed Fire Extinguisher,Extintor de incendios empotrado.
RFE vs SFE vs FEC,SFE,Surface Fire Extinguisher,Extintor de incendios rasante.
RFE vs SFE vs FEC,FEC,Fire Extinguisher Cabinet,Armario con extintor de incendios.
