module,acronym_abrev,term_eng,term_esp,definition_esp
CONSTRUCTION ELEMENTS,PT SLAB,Post-Tension Slab,Losa Postensada,"Losa postensada (se le aplica tensión mediante cables de alta resistencia, a través de los anclajes. Ventaja: menor cantidad de concreto y más altura libre. Desventaja: tendencia a formarse grietas en la losa)."
CONSTRUCTION ELEMENTS,RBBN SLB,Ribbon Slab,Losa Postensada De Cimentación,Losa postensada en la que los cables de alta resistencia discurren por la superficie de la losa. Útil en cimentación para usos con alta ocupación o grandes cargas.
CONSTRUCTION ELEMENTS,FND,Foundation,Cimentación,Cimentación.
CONSTRUCTION ELEMENTS,FTG,Footing,Zapata,Zapata.
CONSTRUCTION ELEMENTS,PILE,Pile,Pilote,Pilote (cimentación profunda).
CONSTRUCTION ELEMENTS,BM,Beam,Viga,Viga.
CONSTRUCTION ELEMENTS,HST BM,Hoist Beam,Viga De Elevación / Izado,Viga de elevación / de izado (típica en la parte superior de elevadores).
CONSTRUCTION ELEMENTS,DIV BM,Divider Beam,Viga Divisora,"Viga divisora (en elevadores dobles/triples, se usa cuando comparten un sólo shaft)."
CONSTRUCTION ELEMENTS,BND BM,Bond Beam,Viga Perimetral,Viga perimetral (suele utilizarse en los muros perimetrales de CMU).
CONSTRUCTION ELEMENTS,TIE BM,Tie Beam,Viga De Atado,"Viga de atado (en los techos, conecta cerchas opuestas rigidizando a la estructura)."
CONSTRUCTION ELEMENTS,UPT BM,Upturn Beam,Viga De Repunte,Viga de repunte (sobresale hacia arriba respecto a la losa).
CONSTRUCTION ELEMENTS,RK BM,Rake Beam,Viga Inclinada,"Viga inclinada (para estabilidad en elementos con inclinación, como gable ends)."
CONSTRUCTION ELEMENTS,RDG BM,Ridge Beam,Viga Corona / Cumbrera,Viga corona (para soportar los extremos superiores de las cerchas en la cumbrera).
CONSTRUCTION ELEMENTS,XFR BM,Transfer Beam,Viga De Transferencia,Viga de transferencia (cuando las columnas/muros no están verticalmente alineados).
CONSTRUCTION ELEMENTS,CANT BM,Cantilever Beam,Viga En Voladizo,"Viga en voladizo (viga fijada/empotrada en un extremo, y libre en el otro, en voladizo)."
CONSTRUCTION ELEMENTS,BRC BM,Brace Beam,Viga Riostra,"Viga riostra (viga con función estructural secundaria, para arriostramiento)."
CONSTRUCTION ELEMENTS,FIXD BM,Fixed Beam,Viga Bi-Empotrada,Viga bi-empotrada (viga fijada/empotrada en sus dos extremos).
CONSTRUCTION ELEMENTS,JST,Joist,Vigueta,Vigueta.
CONSTRUCTION ELEMENTS,RFTR,Rafter,Cercha In Situ,Cercha de madera o metal (creada in situ).
CONSTRUCTION ELEMENTS,TRSS,Truss,Cercha Prefabricada,Cercha de madera o metal (pre-fabricada).
CONSTRUCTION ELEMENTS,GIRDER TRSS,Girder Truss,Cercha Principal,"Cercha principal (tiene la función especial de soportar otras cerchas, usualmente se ubican en hips, valleys o en intersecciones de gables con el roof principal)."
CONSTRUCTION ELEMENTS,TOP CHRD,Top Chord,Cordón Superior,Cordón superior de una cercha.
CONSTRUCTION ELEMENTS,BTM CHRD,Bottom Chord,Cordón Inferior,Cordón inferior de una cercha.
CONSTRUCTION ELEMENTS,TCB,Top Chord Bearing,Apoyo En Cordón Superior,Tipo de techo en el que el alero continúa bajando por debajo del TOB.
CONSTRUCTION ELEMENTS,BCE,Bottom Chord Extended,Cordón Inferior Extendido,Tipo de techo en el que el alero comienza a subir a partir del TOB.
CONSTRUCTION ELEMENTS,KING POST,King Post,Pendolón,"Pendolón (poste central de una cercha, que une la cumbrera con el cordón inferior)."
CONSTRUCTION ELEMENTS,FLG,Flange,Patín / Ala,Patín / ala (en una viga o perfil metálico).
CONSTRUCTION ELEMENTS,WEB,Web,Alma,Alma (en una viga o perfil metálico).
CONSTRUCTION ELEMENTS,PURL,Purlin,Perfil Metálico Laminado En Frío,"Perfil metálico (uso en techos. Su grosor fino es constante en toda su sección. Se produce a partir de rollos laminados en frío, el perfil más habitual es el C o el Z)."
CONSTRUCTION ELEMENTS,CHNL,Channel,Perfil Metálico Laminado En Caliente,"Perfil metálico (uso versátil. Su grosor es mayor en el alma y menor en las alas. Dado su grosor, posee una mayor resistencia, y proporciona mayor estabilidad. Se produce laminado en caliente, el perfil más habitual es el C o el MC)."
CONSTRUCTION ELEMENTS,X-BRC,X-Bracing,Arriostramiento En X,Arriostramiento en X (diagonales de amarre para estabilizar / rigidizar la estructura).
CONSTRUCTION ELEMENTS,HIP RF,Hip Roof,Techo A Cuatro Aguas,Techo a cuatro aguas.
CONSTRUCTION ELEMENTS,GAB RF,Gable Roof,Techo A Dos Aguas,Techo a dos aguas.
CONSTRUCTION ELEMENTS,DTCH GAB RF,Dutch Gable Roof,Techo Holandés,"Techo holandés (a cuatro aguas, pero con el remate final en dos aguas)."
CONSTRUCTION ELEMENTS,MNSRD RF,Mansard Roof,Techo Amansardado,Techo amansardado (con vertientes quebradas).
CONSTRUCTION ELEMENTS,GMBRL RF,Gambrel Roof,Techo Abuhardillado A Dos Aguas,Techo abuhardillado a dos aguas (techo simétrico con dos pendientes a cada lado).
CONSTRUCTION ELEMENTS,PTCHD RF,Pitched Roof,Techo Inclinado,Techo inclinado.
CONSTRUCTION ELEMENTS,FLT RF,Flat Roof,Techo Plano,Techo plano.
CONSTRUCTION ELEMENTS,ELEV RF,Elevated Roof,Techo Plano Elevado,Techo plano elevado respecto al principal.
CONSTRUCTION ELEMENTS,RAH,Roof Access Hatch,Acceso Al Techo,Acceso al techo.
CONSTRUCTION ELEMENTS,RF VENT,Roof Vent,Ventilación De Techo,Elementos de ventilación en el techo.
CONSTRUCTION ELEMENTS,RFNG,Roofing,Techado,Techado (cobertura del techo).
CONSTRUCTION ELEMENTS,CNT STRP,Cant Strip,Listón Achaflanado,Listón achaflanado que se coloca en las esquinas del roofing contra los parapetos.
CONSTRUCTION ELEMENTS,PAD,Walking Pad,Planchas De Hule Transitables,Planchas de hule en el techo formando un camino para hacerlo transitable. Su recorrido debe dar acceso a todas las unidades de aire en el techo.
CONSTRUCTION ELEMENTS,HIP,Hip,Limatesa / Limatón,"Limatesa / limatón (intersección entre dos vertientes del techo, en ángulo convexo)."
CONSTRUCTION ELEMENTS,VALLEY,Valley,Limahoya,"Limahoya (intersección entre dos vertientes del techo, en ángulo cóncavo)."
CONSTRUCTION ELEMENTS,RDG,Ridge,Cumbrera,Cumbrera.
CONSTRUCTION ELEMENTS,RF CRKT,Cricket,Techo Falso Botaguas,Techo falso (sirve para evitar que el agua se acumule contra elementos verticales).
CONSTRUCTION ELEMENTS,GAB,Gable End,Tapichel / Hastial,Tapichel / hastial (parte triangular sobre la que descansa el techo a dos aguas).
CONSTRUCTION ELEMENTS,EAVE,Eave,Alero,Alero.
CONSTRUCTION ELEMENTS,VLT,Vault,Bóveda,Bóveda.
CONSTRUCTION ELEMENTS,XVLT,Cross Vault,Bóveda De Arista,Bóveda de arista.
CONSTRUCTION ELEMENTS,BARR VLT,Barrel Vault,Bóveda De Cañón,Bóveda de cañón.
CONSTRUCTION ELEMENTS,ARCHWY,Archway,Arcada,Arcada.
CONSTRUCTION ELEMENTS,ARCH ST,Arch Stone,Dovela,Dovela.
CONSTRUCTION ELEMENTS,KEY ST,Keystone,Clave,Clave (bloque que remata la parte superior de un arco).
CONSTRUCTION ELEMENTS,HRNGBNE,Herringbone,Espina De Pez,Espina de pez (patrón de colocación de bloques en forma trabada).
CONSTRUCTION ELEMENTS,DOME,Dome,Domo / Cúpula,Domo / cúpula.
CONSTRUCTION ELEMENTS,BUTRSS,Buttress,Contrafuerte,Contrafuerte.
CONSTRUCTION ELEMENTS,FLYN BUTRSS,Flying Buttress,Arbotante,Arbotante.
CONSTRUCTION ELEMENTS,FASC,Fascia,Precinta,Precinta (generalmente suele ser una pieza de 2”x8”).
CONSTRUCTION ELEMENTS,NLR,Nailer,Clavador,"Clavador (pieza que va unida a la fascia, generalmente de 1”x2”)."
CONSTRUCTION ELEMENTS,FRZ,Frieze,Friso,"Friso (banda horizontal decorativa, generalmente con arte esculpido)."
CONSTRUCTION ELEMENTS,MLD,Molding,Moldura,Moldura (término general para todos los tipos).
CONSTRUCTION ELEMENTS,TRM,Trim,Moldura En Banda,"Moldura en forma de banda (usual alrededor de ventanas, puertas o para zócalos)."
CONSTRUCTION ELEMENTS,QUOIN,Quoin,Remate En Esquina,Remate en esquina de bloques de mampostería.
CONSTRUCTION ELEMENTS,WALL COPING,Wall Coping,Remate Superior De Muro,Remate en forma de banda en la parte superior de un muro.
CONSTRUCTION ELEMENTS,CAP,Cap,Tapa / Remate Superior,Tapa o remate superior de un elemento.
CONSTRUCTION ELEMENTS,BASEBD,Baseboard,Rodapié / Zócalo,Pieza en la base de paredes interiores para protección/decoración.
CONSTRUCTION ELEMENTS,CRWN MLD,Crown Moulding,Cornisa,"Cornisa (moldura en el techo, para ocultar la unión entre el mismo y las paredes)."
CONSTRUCTION ELEMENTS,SHIM,Shim,Calce,Calce.
CONSTRUCTION ELEMENTS,SCORE LN,Score Line,Línea De Marcado,"Línea de marcado (con función decorativa en elevaciones, típica de stucco y 1” máx)."
CONSTRUCTION ELEMENTS,RVL,Reveal,Superficie En Receso,Superficie de un elemento en receso en fachada (como un opening o un score line).
CONSTRUCTION ELEMENTS,RECESS,Recess,Remetido / Quiebre,Remetido (generalmente se refiere a un quiebre en fachada metido hacia dentro).
CONSTRUCTION ELEMENTS,WIN,Window,Ventana,Ventana.
CONSTRUCTION ELEMENTS,HRW,Horizontal Roller Window,Ventana Corrediza Horizontal,Ventana corrediza horizontal.
CONSTRUCTION ELEMENTS,SHW,Single Hung Window,Ventana De Guillotina,Ventana de guillotina.
CONSTRUCTION ELEMENTS,DHW,Double Hung Window,Ventana De Guillotina Doble,Ventana de guillotina doble.
CONSTRUCTION ELEMENTS,FW,Fixed Window,Ventana Fija,Ventana fija.
CONSTRUCTION ELEMENTS,CSMT WIN,Casement Window,Ventana Abatible,Ventana abatible.
CONSTRUCTION ELEMENTS,ST,Storefront,Ventanal,"Ventanal (usual en ciertas áreas comunes o zonas de uso comercial, altura máx 12')."
CONSTRUCTION ELEMENTS,SKYLT,Skylight,Lucernario / Claraboya,Lucernario / claraboya.
CONSTRUCTION ELEMENTS,DRMR,Dormer,Ventana Abuhardillada,Ventana abuhardillada (que sobresale en un techo inclinado).
CONSTRUCTION ELEMENTS,BULL'S EYE,Bull's Eye / Oculus,Ventana De Ojo De Buey / Óculo,Ventana de ojo de buey / óculo (ventana circular).
CONSTRUCTION ELEMENTS,MULL,Mullion,Cuarterón,Cuarterón (soporte estructural del panel de vidrio).
CONSTRUCTION ELEMENTS,MUNT,Muntin,Parteluz,"Parteluz (división sin soporte del panel de vidrio, más delgada que el mullion)."
CONSTRUCTION ELEMENTS,GLZ,Glazing,Acristalamiento,Panel de vidrio de la ventana/puerta.
CONSTRUCTION ELEMENTS,DR,Door,Puerta,Puerta.
CONSTRUCTION ELEMENTS,SOLID DR,Solid Door,Puerta Sólida,Puerta sólida (generalmente de madera o metálica).
CONSTRUCTION ELEMENTS,FRNCH DR,French Door,Puerta Con Paneles De Vidrio,Puerta con paneles de vidrio.
CONSTRUCTION ELEMENTS,LVRD DR,Louvered Door,Puerta Con Lamas,Puerta con lamas.
CONSTRUCTION ELEMENTS,SW DR,Swing Door,Puerta Abatible / Batiente,Puerta abatible / batiente.
CONSTRUCTION ELEMENTS,SGD,Sliding Glass Door,Puerta Corrediza De Vidrio,Puerta corrediza de vidrio.
CONSTRUCTION ELEMENTS,BFLD DR,Bifold Door,Puerta Plegable,Puerta plegable.
CONSTRUCTION ELEMENTS,PKT DR,Pocket Door,Puerta Corrediza Empotrada,Puerta corrediza (que queda oculta dentro de la pared).
CONSTRUCTION ELEMENTS,BRN DR,Barn Door,Puerta Corrediza Tipo Establo,Puerta corrediza (desliza gracias a una línea de guía sobre la puerta).
CONSTRUCTION ELEMENTS,BYP DR,Bypass Door,Puerta Corrediza Derivada,Puerta corrediza (similar a barn door pero con paneles deslizantes independientes).
CONSTRUCTION ELEMENTS,ROLL UP DR,Roll-Up Door,Puerta Persiana,Puerta persiana (generalmente para garajes de viviendas o carports).
CONSTRUCTION ELEMENTS,HPR DR,Hopper Door,Puerta Tipo Tolva,"Puerta “tipo tolva” (típica en los trash chutes, con sistema de cierre automático)."
CONSTRUCTION ELEMENTS,REV DR,Revolving Door,Puerta Giratoria,Puerta giratoria.
CONSTRUCTION ELEMENTS,LND DR,Landing Door,Puerta Del Elevador,Puerta del elevador.
CONSTRUCTION ELEMENTS,SLF-CLSNG,Self-Closing,Sistema De Cierre Automático,Con sistema de cierre automático.
CONSTRUCTION ELEMENTS,GTE,Gate,Portón,Portón (típico dentro de los edificios de garaje).
CONSTRUCTION ELEMENTS,ROLL UP GTE,Roll-Up Gate,Portón Tipo Persiana,Portón tipo persiana (típico dentro de los edificios de garaje).
CONSTRUCTION ELEMENTS,BAR GTE,Barrier Arm Gate,Portón Tipo Barrera,Portón tipo barrera (típico dentro de los edificios de garaje).
CONSTRUCTION ELEMENTS,HR GTE,Horizontal Roller Gate,Portón Corredizo,Portón corredizo (típico dentro de los edificios de garaje).
CONSTRUCTION ELEMENTS,THOLD,Threshold,Umbral,Umbral (usualmente aplica al límite inferior de una puerta).
CONSTRUCTION ELEMENTS,FRM,Frame,Marco,Marco.
CONSTRUCTION ELEMENTS,JMB,Jamb,Jamba,"Jamba (partes verticales del marco de la puerta / ventana, que sostienen el dintel)."
CONSTRUCTION ELEMENTS,LINT,Lintel,Dintel De Obra,Dintel (típico sobre puertas / ventanas) → Usual en construcción en ladrillo / bloque.
CONSTRUCTION ELEMENTS,HDR,Header,Dintel De Madera,Dintel (típico sobre puertas / ventanas) → Usual en construcción en madera.
CONSTRUCTION ELEMENTS,SILL,Sill,Alféizar / Banquina,Alféizar / banquina (de una ventana).
CONSTRUCTION ELEMENTS,TRSM,Transom,Montante,Montante (ventana sobre una puerta/ventana).
CONSTRUCTION ELEMENTS,SDLT,Sidelite / Sidelight,Panel De Vidrio Lateral,Panel de vidrio lateral (ocasionalmente junto a algunas puertas).
CONSTRUCTION ELEMENTS,PH,Panic Hardware,Barra Anti-Pánico,Barra anti-pánico (sistema que garantiza la apertura de la puerta en una emergencia).
CONSTRUCTION ELEMENTS,HNG,Hinge,Bisagra,"Bisagra (normalmente una central, una abajo a 13” máx y una arriba a 11.75” máx)."
CONSTRUCTION ELEMENTS,LTCH,Latch,Pestillo,Pestillo.
CONSTRUCTION ELEMENTS,KNB,Knob,Pomo / Manija Circular,Pomo / manija circular (a una altura mínima de 34” desde el suelo acabado).
CONSTRUCTION ELEMENTS,HNDLE,Handle,Manija,Manija (a una altura mínima de 34” desde el suelo acabado).
CONSTRUCTION ELEMENTS,LOCK,Lock,Cerrojo,Cerrojo.
CONSTRUCTION ELEMENTS,PPHL,Peephole,Mirilla,Mirilla.
CONSTRUCTION ELEMENTS,ELEV,Elevator,Elevador,Elevador (rating de 2h hasta 3 niveles / rating de 2h para más de 3 niveles).
CONSTRUCTION ELEMENTS,SERV ELEV,Service Elevator,Elevador De Servicio,Elevador de servicio (para trasladar equipo y utensilios del edificio).
CONSTRUCTION ELEMENTS,FE,Freight Elevator,Montacargas,"Montacargas (para trasladar elementos pesados, como mobiliario)."
CONSTRUCTION ELEMENTS,PE,Passenger Elevator,Elevador De Pasajeros,Elevador para uso de personas.
CONSTRUCTION ELEMENTS,ELEV CAR,Elevator Car,Cabina Del Elevador,Cabina del elevador.
CONSTRUCTION ELEMENTS,ELEV TRVL,Elevator Travel,Trayecto Del Elevador,Distancia que recorre el elevador desde el primer piso hasta el último.
CONSTRUCTION ELEMENTS,PIT,Elevator Pit / Sump Pit,Foso Del Elevador,"Foso del elevador (fondo típico es de 5', aunque puede ser más en ciertos casos)."
CONSTRUCTION ELEMENTS,SUMP PUMP,Sump Pump,Bomba De Sumidero,Bomba que expulsa al exterior el agua acumulada en el foso del elevador.
CONSTRUCTION ELEMENTS,HOOD,Hood,Cubierta De Louver,Cubierta (típica sobre el louver que ventila el hueco del elevador en el techo).
CONSTRUCTION ELEMENTS,STR,Stair,Escaleras,Escaleras (rating de 2h hasta 3 niveles / rating de 2h para más de 3 niveles).
CONSTRUCTION ELEMENTS,JMP STR,Jump Stair,Escaleras De Salto,Escaleras (pequeño tramo para conectar los dos laterales de un garaje). A veces son necesarias para poder cumplir la ruta de evacuación en Life Safety.
CONSTRUCTION ELEMENTS,CONV STR,Convenience Stair,Escaleras De Conveniencia,Escaleras de conveniencia (no poseen pared de separación con el edificio).
CONSTRUCTION ELEMENTS,SPI STR,Spiral Stair,Escalera De Caracol,Escalera de caracol.
CONSTRUCTION ELEMENTS,SCSR STR,Scissor Stair,Escalera De Tijera,Escalera de tijera (poseen doble subida y bajada).
CONSTRUCTION ELEMENTS,LDR,Ladder,Escalera De Mano,Escalera de mano (cuando tienen más de 10' de alto -> necesario bracket intermedio).
CONSTRUCTION ELEMENTS,LND,Landing,Descanso,Descanso (en una rampa o escalera).
CONSTRUCTION ELEMENTS,FLGHT,Flight,Tramo De Escalera,Tramo de escalera (entre dos descansos). No puede subir más de 12' seguidos sin descansos.
CONSTRUCTION ELEMENTS,T,Tread,Huella De Escalera,"Huella de escalera. Típica de 11”, en townhomes mín 10” y en exteriores ocasionalmente de 12”."
CONSTRUCTION ELEMENTS,R,Riser,Contrahuella De Escalera,"Contrahuella de escalera. Límite máximo general de 7”, y en townhomes de 7 3/4”."
CONSTRUCTION ELEMENTS,STR NSNG,Stair Nosing,Mamperlán / Pirlán,Mamperlán / pirlán (remate de 1” al final de cada escalón).
CONSTRUCTION ELEMENTS,BULLNS,Bullnose,Extensión Lateral Redondeada,Extensión lateral (normalmente redondeada) de los peldaños iniciales de la escalera.
CONSTRUCTION ELEMENTS,STRINGR,Stringer,Zanca / Viga De Escalera,Zanca / viga de escalera.
CONSTRUCTION ELEMENTS,RUNG,Rung,Barra Peldaño,Barra que sirve como peldaño en una escalera de mano (separadas de forma equidistante entre 10” y 14”).
CONSTRUCTION ELEMENTS,RLG,Railing,Barandilla,"Barandilla (típica de 3'-6” de altura o 4'-0” en balcones del 1F hacia un courtyard). Se refiere al conjunto completo de la barandilla, incluyendo sus distintas partes."
CONSTRUCTION ELEMENTS,PKT RLG,Picket Railing,Barandilla De Postes Verticales,Barandilla de postes verticales (separación máxima entre postes = 4”).
CONSTRUCTION ELEMENTS,GL RLG,Glass Railing,Barandilla Acristalada,Barandilla acristalada.
CONSTRUCTION ELEMENTS,MSH RLG,Mesh Railing,Barandilla Tipo Malla,Barandilla “tipo malla” (separación máxima entre postes de apoyo = 4').
CONSTRUCTION ELEMENTS,CABLE RLG,Cable Railing,Barandilla De Cables,Barandilla de cables (mínima obstrucción de vistas. Separación máx entre cables = 4”).
CONSTRUCTION ELEMENTS,HDRL,Handrail,Pasamanos,"Pasamanos (típico de 2'-10” de altura, y sobresale 12” respecto al último riser)."
CONSTRUCTION ELEMENTS,CN RL,Cane Rail,Barandilla De Protección Baja,"Barandilla (típica de 2'-3” de altura, bajo la escaleras, como protección)."
CONSTRUCTION ELEMENTS,GRDRL,Guardrail,Barandilla De Defensa / Guardacuerpo,"Barandilla (típica de 3'-6” de altura, función de barrera para evitar caída al vacío)."
CONSTRUCTION ELEMENTS,BAR CABLES,Barrier Cables,Barandilla De Cables De Garaje,"Barandilla de cables (típica en los garajes como elemento de protección). Suelen tener una altura de 3'-6”, en ocasiones van montadas sobre un bordillo de 4”. La separación típica entre cada uno de los cables es de 4”."
CONSTRUCTION ELEMENTS,VEH BAR,Vehicular Barrier,Refuerzo Vehicular,Refuerzo de concreto de 2'-9” mín en la base de paredes de circulación del garaje.
CONSTRUCTION ELEMENTS,BOL,Bollard,Bolardo,Bolardo (postes verticales de seguridad para delimitar el tráfico). Separación: 3' a 5'.
CONSTRUCTION ELEMENTS,PAVNG,Paving,Pavimento,Pavimento.
CONSTRUCTION ELEMENTS,CRB,Curb,Bordillo,Bordillo.
CONSTRUCTION ELEMENTS,C&G,Curb & Gutter,Bordillo Con Canoa,Bordillo con canoa.
CONSTRUCTION ELEMENTS,WHLSTP,Wheelstop,Bordillo De Tope,Bordillo de tope en la plaza de parqueo.
CONSTRUCTION ELEMENTS,CHMNY,Chimney,Chimenea Conducto,Chimenea (hace referencia al conducto vertical que deja salir el humo).
CONSTRUCTION ELEMENTS,FPL,Fireplace,Hogar De Chimenea,Chimenea (hace referencia a la parte baja que da a la sala).
CONSTRUCTION ELEMENTS,BALC,Balcony,Balcón,Balcón.
CONSTRUCTION ELEMENTS,JLT BALC,Juliet Balcony,Balcón Tipo Julieta,Balcón tipo Julieta (usualmente sobresalen máx 1' y tienen un fin decorativo).
CONSTRUCTION ELEMENTS,FAUX BALC,Faux Balcony,Balcón Falso,"Balcón falso (suelen ser similares a los Julieta, sólo que abajo no tienen deck)."
CONSTRUCTION ELEMENTS,GRILLE,Grille,Reja,Reja (generalmente metálica y en fachada con función decorativa o de seguridad).
CONSTRUCTION ELEMENTS,MSH,Mesh,Malla,"Malla (generalmente en balcones, con una retícula mucho más fina que el grille)."
CONSTRUCTION ELEMENTS,LTTC,Lattice,Entramado / Celosía,Entramado (típico en cercas/vallas de metal o madera con una retícula cuadrada).
CONSTRUCTION ELEMENTS,LATH,Lath,Mallazo / Metal Desplegado,Mallazo (malla de metal usualmente utilizada en sistemas de impermeabilización).
CONSTRUCTION ELEMENTS,BIRD SCR,Bird Screen,Malla Anti-Pájaros,Malla anti-pájaros (rejilla que protege huecos de ventilación ante entrada de pájaros).
CONSTRUCTION ELEMENTS,IS,Insect Screen,Mosquitera,Mosquitera (pantalla para evitar el paso de zancudos).
CONSTRUCTION ELEMENTS,SDNG,Siding,Revestimiento Exterior,"Revestimiento exterior (típico de 6” o 8”, con solape mínimo entre piezas de 1 1/4”)."
CONSTRUCTION ELEMENTS,LAP SDNG,Lap Siding,Revestimiento Horizontal Solapado,Revestimiento (con bandas horizontales solapadas).
CONSTRUCTION ELEMENTS,BD SDNG,Board Siding,Revestimiento En Paneles,Revestimiento (con paneles sobre listones guía y sin solapamiento).
CONSTRUCTION ELEMENTS,BRKT,Bracket,Ménsula,"Ménsula (elemento decorativo típico en los aleros, con diagonal de soporte)."
CONSTRUCTION ELEMENTS,OUTLKR,OutlookER,Dentículo,"Dentículo (elemento decorativo típico en los aleros, más pequeño que los brackets)."
CONSTRUCTION ELEMENTS,DECO,Decoration,Elemento Decorativo,Elemento decorativo.
CONSTRUCTION ELEMENTS,ORNAM,Ornamentation,Decoración / Ornamentación,Decoración (término más formal que decoration e incuantificable).
CONSTRUCTION ELEMENTS,SHTR,Shutter,Contraventana,Contraventana.
CONSTRUCTION ELEMENTS,BHM SHTR,Bahama Shutter,Contraventana Tipo Bahamas,Tipo especial de shutter que se coloca usualmente sobre ventanas como parasol.
CONSTRUCTION ELEMENTS,LVR,Louver,Parasol / Cortasol,Parasol / cortasol (posee lamas inclinadas para proporcionar sombra y ventilación).
CONSTRUCTION ELEMENTS,CNPY,Canopy,Toldo / Marquesina Rígida,Toldo / marquesina (posee estructura rígida propia independiente de la pared).
CONSTRUCTION ELEMENTS,AWN,Awning,Toldo / Marquesina Ligera,Toldo / marquesina (posee estructura liviana que depende del soporte de la pared).
CONSTRUCTION ELEMENTS,CNPY AWN,Canopy Awning,Toldo Retráctil,"Toldo / marquesina (es similar a un awning regular, solo que es más versátil ya que es retráctil y se puede extender según se necesite, mediante control remoto)."
CONSTRUCTION ELEMENTS,CANV AWN,Canvas Awning,Toldo De Tela / Lona,Toldo de tela / lona (posee estructura liviana que depende del soporte de la pared).
CONSTRUCTION ELEMENTS,TRL,Trellis,Pérgola,Pérgola.
CONSTRUCTION ELEMENTS,EYEBRW,Eyebrow,Marquesina / Ceja,"Marquesina / ceja (extensión horizontal en fachada, usualmente de concreto)."
CONSTRUCTION ELEMENTS,FIN,Fin,Aleta Vertical,Aleta (elemento vertical no estructural unido a la pared principal del edificio).
CONSTRUCTION ELEMENTS,ANCHR,Anchor,Anclaje,Anclaje.
CONSTRUCTION ELEMENTS,RA,Roof Anchor,Anclaje De Techo,Anclaje de techo (sistema de seguridad en techo para evitar caída de trabajadores).
CONSTRUCTION ELEMENTS,SA,Soffit Anchor,Anclaje De Cielo Raso,Anclaje de cielo raso (sistema de seguridad en el cielo raso).
CONSTRUCTION ELEMENTS,AB,Anchor Bolt,Perno De Anclaje,Perno de anclaje.
CONSTRUCTION ELEMENTS,WA,Wedge Anchor / Redhead,Anclaje De Cuña,Anclaje de cuña (se utiliza como anclaje exclusivamente en proyectos de concreto).
CONSTRUCTION ELEMENTS,TRSS ANCHR,Truss Anchor,Anclaje De Cercha,Anclaje de cercha (elementos de unión perimetral viga-cercha para rigidización).
CONSTRUCTION ELEMENTS,HURRIC STRP,Hurricane Strap,Tirante Anti-Huracanes,Tirante anti-huracanes (sirven para rigidizar la estructura del techo ante huracanes).
CONSTRUCTION ELEMENTS,PT,Pressure Treated,Tratamiento Químico A Presión,Con tratamiento químico para evitar podredumbre o plagas (típico en fascias/nailers).
CONSTRUCTION ELEMENTS,FLASH,Flashing,Botaguas,Botaguas.
CONSTRUCTION ELEMENTS,ZFLASH,Counterflashing / Z Flashing,Contra-Botaguas / Botaguas En Z,"Botaguas (se utiliza para cubrir el flashing, y así prevenir la entrada de humedad)."
CONSTRUCTION ELEMENTS,VFLASH,Valley Flashing,Botaguas De Limahoya,Botaguas (específicamente el colocado en las limahoyas del techo).
CONSTRUCTION ELEMENTS,EJ,Expansion Joint,Junta De Expansión,"Junta de expansión (para mitigar los cambios expansivos del material, de 1” o 2”)."
CONSTRUCTION ELEMENTS,CJ,Construction Joint,Junta De Construcción,Junta de construcción (derivada del proceso constructivo en obra).
CONSTRUCTION ELEMENTS,CTRJ,Control Joint / Contraction Joint,Junta De Control,Junta de control (para controlar la forma de agrietado del elemento constructivo).
CONSTRUCTION ELEMENTS,CLK,Caulking,Calafateado / Sellado Simple,Calafateado (sellado/cierre de una junta con masilla).
CONSTRUCTION ELEMENTS,SNT,Sealant,Sellante Elástico,"Sellante (más versátil que el caulking, por su elasticidad y por ser resistente al agua)."
CONSTRUCTION ELEMENTS,BCKR ROD,Backer Rod,Varilla De Respaldo,Varilla de respaldo (cordón de polietileno colocado en las juntas antes de sellarse).
CONSTRUCTION ELEMENTS,CRNR BEAD,Corner Bead,Guardaesquinas,Guardaesquinas (refuerzo para proteger la esquina de un elemento).
CONSTRUCTION ELEMENTS,DRIP,Drip Inducer / Water Cut,Cortalágrimas,Cortalágrimas (en elementos en voladizo para evitar que el agua llegue a fachada).
CONSTRUCTION ELEMENTS,DRIP EDGE,Drip Edge,Cortalágrimas De Alero,Cortalágrimas (específicamente el que se coloca sobre el nailer en los aleros).
CONSTRUCTION ELEMENTS,TROWELLD,Trowelled,Junta Alisada Con Llana,Rematado de junta en la que se elimina el exceso de mortero → Acabado poroso.
CONSTRUCTION ELEMENTS,TOOLD,Tooled,Junta Perfilada Con Herramienta,Rematado de junta en la que queda cóncava → Mortero comprimido.
CONSTRUCTION ELEMENTS,FS,Free Standing,Elemento Independiente / Exento,Elemento independiente / exento.
CONSTRUCTION ELEMENTS,FURR,Furring,Forro / Trasdosado Estándar,"Forro (típicamente separado de la pared 1 3/8” y con grosor de 5/8” → Total = 2”). Se coloca en la cara interior de las paredes de bloque o concreto con algunas excepciones (staircases, shafts, trash room, elec rooms, garage...)."
CONSTRUCTION ELEMENTS,FURRT,Furrout,Forro Recrecido,Forro recrecido (generalmente para esconder ductos o mejorar la insulación).
CONSTRUCTION ELEMENTS,INSUL,Insulation,Aislamiento / Insulación,"Insulación / aislante (llevan un grado tipo R-número, que define su grosor)."
